pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
EURUSD,short,2010-02-04,2010-03-03,1.374495,1.370163,0.003151,27,reversion
GBPUSD,short,2010-02-03,2010-03-16,1.592002,1.523693,0.042907,41,reversion
AUDUSD,short,2010-02-03,2010-02-16,0.882223,0.901307,-0.021631,13,reversion
AUDUSD,long,2010-03-02,2010-03-24,0.904977,0.911910,0.007660,22,reversion
USDCAD,long,2010-02-04,2010-02-11,1.072000,1.050200,-0.020336,7,stop
USDCAD,short,2010-02-19,2010-02-25,1.039200,1.060900,-0.020881,6,stop
USDCAD,short,2010-03-02,2010-03-25,1.034510,1.023690,0.010459,23,reversion
